game_name,original_price,new_price,platform,price_start_date
SUPERHOT VR,24.99,9.99,Humble Store,2022-10-03T18:11:48+00:00
Screeps: World,14.99,7.49,Steam,2022-10-03T18:02:21+00:00
BIOMUTANT,39.99,19.99,Epic Games Store,2022-10-03T15:18:06+00:00
Forza Horizon 5,59.99,49.19,Green Man Gaming,2022-09-30T15:31:07+00:00
First Feudal,19.99,9.99,Steam,2022-09-30T07:32:15+00:00
Assassin's Creed Origins Deluxe Edition,69.99,12.6,Ubisoft Store,2022-09-29T15:05:45+00:00
Metro 2033 Redux,19.99,4.59,Fanatical,2022-09-11T23:03:47+00:00
SUCCUBUS,21.42,19.28,Gamesplanet DE,2022-08-15T09:07:47+00:00
JoJo's Bizarre Adventure: All-Star Battle R,44.33,37.68,Gamesplanet UK,2022-05-26T15:18:34+00:00
Trailmakers,24.99,7.49,Humble Store,2022-10-07T18:11:38+00:00
Mortal Kombat 11,49.99,9.99,Steam,2022-10-07T17:45:12+00:00
Hardspace: Shipbreaker,34.99,25.19,Fanatical,2022-10-06T23:02:50+00:00
Sonic Generations Collection,19.99,4.99,Steam,2022-10-06T17:47:49+00:00
Rock of Ages 2: Bigger & Boulder,14.99,3.74,Steam,2022-10-06T17:46:13+00:00
The Church in the Darkness,19.99,2.99,Gog.com,2022-10-06T08:05:54+00:00
Worms W.M.D,29.99,5.39,Fanatical,2022-10-04T15:03:30+00:00
Monster Hunter Stories 2: Wings of Ruin Standard Edition,59.99,30.0,Dreamgame,2022-10-04T01:14:22+00:00
Neon White,21.42,19.28,Gamesplanet DE,2022-10-04T00:10:14+00:00
METAL SLUG,7.99,1.59,Humble Store,2022-10-03T18:11:48+00:00
Trine Enchanted Edition,14.99,3.74,Steam,2022-10-03T17:52:23+00:00
Caves of Qud,19.99,17.99,Gog.com,2022-10-03T13:08:58+00:00
